facility_code,facility_name,facility_major_type,facility_type,facility_category,ownership_major,is_private,is_licensed,city_raw,city_norm,barangay,service_capability,doh_level,service_level_weight,bed_capacity,license_status
DOH000000000049648,MAHOGANY DRUG TESTING CENTER,Health Facility,Drug Testing Laboratory,laboratory,Private,1,1,CITY OF MUNTINLUPA,MUNTINLUPA,TUNASAN,Screening (Drug testing),0,1.0,0,Licensing Status:With License
DOH000000000011982,MAKABAYAN HEALTH CENTER,Health Facility,Rural Health Unit,rhu,Government,0,0,CITY OF MANDALUYONG,MANDALUYONG,BARANGKA DRIVE,,0,1.5,0,
DOH000000000022927,MAKATI CITY HEALTH OFFICE,Health Facility,City Health Office,other,Government,0,0,CITY OF MAKATI,MAKATI,POBLACION,,0,1.0,0,Licensing Status:Without License
DOH000000000049649,MAKATI DISTRICT HEALTH LABORATORY,Health Facility,Drug Testing Laboratory,laboratory,Government,0,1,CITY OF MAKATI,MAKATI,POBLACION,Screening (Drug testing),0,1.0,0,Licensing Status:With License
DOH000000000048688,MAKATI HEALTH DEPARTMENT,Health Facility,Ambulance Service Provider,ambulance,Government,0,1,CITY OF MAKATI,MAKATI,POBLACION,,0,0.5,0,Licensing Status:With License
DOH000000000039820,MAKATI HEALTH DEPARTMENT LABORATORY AND SOCIAL HYGIENE CLINIC,Health Facility,Clinical Laboratory,clinic,Government,0,1,CITY OF MAKATI,MAKATI,POBLACION,Level 2,2,3.0,0,Licensing Status:With License
DOH000000000047455,MAKATI HEALTH DEPARTMENT WATER LABORATORY,Health Facility,Laboratory for Drinking Water Analysis,laboratory,Government,0,1,CITY OF MAKATI,MAKATI,POBLACION,,0,1.0,0,Licensing Status:With License
DOH000000000053032,MAKATI LIFE MEDICAL CENTER,Health Facility,Hospital,hospital,Private,1,1,CITY OF MAKATI,MAKATI,BEL-AIR,Level 2,2,3.0,70,Licensing Status:With License
DOH000000000000637,MAKATI MEDICAL CENTER,Health Facility,Hospital,hospital,Private,1,1,CITY OF MAKATI,MAKATI,SAN LORENZO,Level 3,3,4.0,600,Licensing Status:With License
DOH000000000044379,MAKATI MEDICAL CENTER,Health Facility,Dialysis Clinic,dialysis,Private,1,1,QUEZON CITY,QUEZON CITY,SOCORRO,,0,2.0,0,Licensing Status:With License
DOH000000000038987,MAKATI MEDICAL CENTER (HB),Health Facility,COVID-19 Testing Laboratory,laboratory,Private,1,1,CITY OF MAKATI,MAKATI,SAN LORENZO,,0,1.0,0,Licensing Status:With License
DOH000000000049650,MAKATI MEDICAL CENTER DRUG TESTING UNIT,Health Facility,Drug Testing Laboratory,laboratory,Private,1,1,CITY OF MAKATI,MAKATI,SAN LORENZO,Screening (Drug testing),0,1.0,0,Licensing Status:With License
DOH000000000033701,MAKATI SOCIAL HYGIENE CLINIC,Health Facility,Social Hygiene Clinic,clinic,Government,0,0,CITY OF MAKATI,MAKATI,POBLACION,,0,1.5,0,
DOH000000000051457,MAKATICARE DIALYSIS CENTER,Health Facility,Dialysis Clinic,dialysis,Private,1,1,CITY OF TAGUIG,TAGUIG,PEMBO,,0,2.0,0,Licensing Status:With License
DOH000000000049651,MALABON ANTI-DRUG ABUSE CENTER,Health Facility,Drug Testing Laboratory,laboratory,Government,0,1,CITY OF MALABON,MALABON,LONGOS,Screening (Drug testing),0,1.0,0,Licensing Status:With License
DOH000000000022572,MALABON CITY HEALTH OFFICE,Health Facility,City Health Office,other,Government,0,0,CITY OF MALABON,MALABON,SAN AGUSTIN,,0,1.0,0,Licensing Status:Without License
DOH000000000039936,MALABON DOCTORS SPECIALTY AND DIAGNOSTIC CENTER,Health Facility,Clinical Laboratory,clinic,Private,1,1,CITY OF MALABON,MALABON,LONGOS,Level 2,2,3.0,0,Licensing Status:With License
DOH000000000050194,"MALABON HOSPITAL AND MEDICAL CENTER, INC.",Health Facility,Hospital,hospital,Private,1,1,CITY OF MALABON,MALABON,CATMON,Level 2,2,3.0,42,Licensing Status:With License
DOH000000000033799,MALABON SOCIAL HYGIENE CLINIC,Health Facility,Social Hygiene Clinic,clinic,Government,0,0,CITY OF MALABON,MALABON,LONGOS,,0,1.5,0,
DOH000000000002428,MALAMIG HEALTH CENTER,Health Facility,Rural Health Unit,rhu,Government,0,0,CITY OF MANDALUYONG,MANDALUYONG,MALAMIG,,0,1.5,0,Licensing Status:Without License
DOH000000000001876,MALANDAY 3S HEALTH CENTER,Health Facility,Rural Health Unit,rhu,Government,0,0,CITY OF VALENZUELA,VALENZUELA,MALANDAY,,0,1.5,0,
DOH000000000005330,MALANDAY HEALTH CENTER,Health Facility,Rural Health Unit,rhu,Government,0,1,CITY OF MARIKINA,MARIKINA,MALANDAY,,0,1.5,0,Licensing Status:With License
DOH000000000012082,MALARIA HEALTH CENTER,Health Facility,Rural Health Unit,rhu,Government,0,0,CITY OF CALOOCAN,CALOOCAN,BARANGAY 185,,0,1.5,0,
